FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_OF_CROP,Tipo di coltivazione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_OF_CROP_EUCODE,Codice Eurostat,NOTE_TYPE_OF_CROP,Tipo di coltivazione (NOTE_TYPE_OF_CROP),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,DRIESES,Leguminose,2025,448,,,,,,,G1200_II,G1200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHETURES,Altri miscugli,2025,4026,,,,,,,G1200_III,G1200_III,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LUCERNE,Erba medica,2025,20702,,,,,,,G2100,G2100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MIXEPORARY,Prati avvicendati polifiti,2025,8807,,,,,,,G2900_IV,G2900_IV,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LVRADBENDS,Trifoglio e miscele,2025,18,,,,,,,G2910,G2910,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LEGMIX,Miscele di leguminose,2025,3320,,,,,,,G2920,G2920,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTMFC,Altri erbai monofiti di cereali,2025,7481,,,,,,,G9100,G9100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHGRENOCER,Altre piante raccolte verdi da seminativi,2025,470,,,,,,,G9900,G9900,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHFRELPULS,Altri legumi freschi,2025,2,,,,,,,V5900,V5900,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FRESADBEAN,Fava fresca in piena aria,2025,2,,,,,,,V5900_I,V5900_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LEEKOPENFI,Porro in piena aria,2025,315,,,,,,,V2100,V2100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,HTABG,Cavolo bianco,2025,1313,,,,,,,V1310,V1310,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,HTABG,Cavolo bianco,2026,1297,,,,,,,V1310,V1310,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SAVOBAGEIN,Cavolo verza,2025,195,,,,,,,V1330,V1330,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SAVOBAGEIN,Cavolo verza,2026,180,,,,,,,V1330,V1330,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHBROCI,Altri cavoli diversi dai broccoletti di rapa,2025,15,,,,,,,V1900_II,V1900_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHBROCI,Altri cavoli diversi dai broccoletti di rapa,2026,15,,,,,,,V1900_II,V1900_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BROCINOPEN,Broccoletto di rapa in piena aria,2025,23,,,,,,,V1900_I,V1900_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BROCINOPEN,Broccoletto di rapa in piena aria,2026,23,,,,,,,V1900_I,V1900_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CAULERAND,Cavolfiore  (e cavolo broccolo),2025,254,,,,,,,V1100,V1100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CAULERAND,Cavolfiore  (e cavolo broccolo),2026,254,,,,,,,V1100,V1100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAENFIEL,Pisello in piena aria,2025,2010,,,,,,,V5100_II,V5100_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FRESNEYBEA,Fagiolo e fagiolino in piena aria,2025,1329,,,,,,,V5200_II,V5200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FRESNEYBEA,Fagiolo e fagiolino in piena aria,2026,1329,,,,,,,V5200_II,V5200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SHALLOT,Scalogno in piena aria,2025,19,,,,,,,V4220,V4220,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SHALLOT,Scalogno in piena aria,2026,19,,,,,,,V4220,V4220,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ONIOOPENF,Cipolla in piena aria,2025,764,,,,,,,V4210,V4210,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ONIOOPENF,Cipolla in piena aria,2026,793,,,,,,,V4210,V4210,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CARRNDPARS,Carota e pastinaca in piena aria,2025,595,,,,,,,V4100_II,V4100_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CARRNDPARS,Carota e pastinaca in piena aria,2026,595,,,,,,,V4100_II,V4100_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,BEETANDLEA,Barbabietola da orto in piena aria,2025,17,,,,,,,V4300_II,V4300_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ASPAINGREOPEN,Asparago in piena aria,2025,1729,,,,,,,V2600_II,V2600_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ASPAINGREOPEN,Asparago in piena aria,2026,1741,,,,,,,V2600_II,V2600_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CHICNOPEN,Radicchio o cicoria in piena aria,2025,5151,,,,,,,V2700_II,V2700_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CHICNOPEN,Radicchio o cicoria in piena aria,2026,5151,,,,,,,V2700_II,V2700_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CELEOPENF,Sedano in piena aria,2025,32,,,,,,,V2200_II,V2200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,GLOBICHOKE,Carciofo in piena aria,2025,26,,,,,,,V2800,V2800,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,GLOBICHOKE,Carciofo in piena aria,2026,33,,,,,,,V2800,V2800,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,EGGINOPE,Melanzana in piena aria,2025,67,,,,,,,V3410_II,V3410_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,EGGINOPE,Melanzana in piena aria,2026,55,,,,,,,V3410_II,V3410_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,REDRINOP,Peperone in piena aria,2025,36,,,,,,,V3600_II,V3600_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,REDRINOP,Peperone in piena aria,2026,36,,,,,,,V3600_II,V3600_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CUCUINOPE,Cetriolo da mensa in piena aria,2025,16,,,,,,,V3200_II,V3200_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LETTNOPEN,Lattuga in piena aria,2025,180,,,,,,,V2300_II,V2300_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,LETTNOPEN,Lattuga in piena aria,2026,153,,,,,,,V2300_II,V2300_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MELOOPENFI,Popone o melone in piena aria,2025,372,,,,,,,V3510_II,V3510_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MELOOPENFI,Popone o melone in piena aria,2026,372,,,,,,,V3510_II,V3510_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,COURINOPE,Zucchina in piena aria,2025,1978,,,,,,,V3420_II,V3420_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,COURINOPE,Zucchina in piena aria,2026,2200,,,,,,,V3420_II,V3420_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,WATENINOP,Cocomero in piena aria,2025,353,,,,,,,V3520_II,V3520_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FENNOPENF,Finocchio in piena aria,2025,40,,,,,,,V4920_II,V4920_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FENNOPENF,Finocchio in piena aria,2026,40,,,,,,,V4920_II,V4920_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ENDINOPEN,Indivia (riccia e scarola) in piena aria,2025,28,,,,,,,V2400_II,V2400_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ENDINOPEN,Indivia (riccia e scarola) in piena aria,2026,28,,,,,,,V2400_II,V2400_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,RADIOPEN,Ravanello in piena aria,2025,9,,,,,,,V4500_I,V4500_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SPINNOPEN,Spinacio in piena aria,2025,114,,,,,,,V2500_II,V2500_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CHAROPENFI,Bietola da costa in piena aria,2025,64,,,,,,,V2900_III,V2900_III,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ZUCCA,Zucca,2025,2106,,,,,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ZUCCA,Zucca,2026,2106,,,,,,,,,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,GARLIC,Aglio,2025,443,,,,,,,V4600,V4600,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CICRADIFRE_OPEN,Cicoria o radicchio per consumo fresco in piena aria,2025,5151,,,,,,,V2710_II,V2710_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CICRADIFRE_OPEN,Cicoria o radicchio per consumo fresco in piena aria,2026,5151,,,,,,,V2710_II,V2710_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OTHALEAFSNOB,Altre verdure a foglia o a stelo diverse dalla bietola da costa,2025,320,,,,,,,V2900_IV,V2900_IV,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OFTTOT,Pomodoro da consumo fresco o da mensa,2025,14,,,,,,,V3110,V3110,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OFTTOT,Pomodoro da consumo fresco o da mensa,2026,14,,,,,,,V3110,V3110,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OFTP,Pomodoro da trasformazione in piena aria,2025,2934,,,,,,,V3120,V3120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,OFTP,Pomodoro da trasformazione in piena aria,2026,2720,,,,,,,V3120,V3120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,STRAIEINO,Fragola in piena aria,2025,40,,,,,,,S0000_II,S0000_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,STRAIEINO,Fragola in piena aria,2026,40,,,,,,,S0000_II,S0000_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,APPLE,Mela,2025,5571,,,,,,,F1110,F1110,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,APPLE,Mela,2026,5571,,,,,,,F1110,F1110,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PLSFRFESHC,Mele per il consumo fresco,2025,5421,,,,,,,F1111,F1111,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PLSFRFESHC,Mele per il consumo fresco,2026,5421,,,,,,,F1111,F1111,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PLSDSIEDFO,Mele destinate alla trasformazione,2025,150,,,,,,,F1112,F1112,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PLSDSIEDFO,Mele destinate alla trasformazione,2026,150,,,,,,,F1112,F1112,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,QUIN,Cotogno,2025,1,,,,,,,F1190_I,F1190_I,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAR,Pera,2025,1400,,,,,,,F1120,F1120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEAR,Pera,2026,1400,,,,,,,F1120,F1120,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ERORSHCO,Pere per il consumo fresco,2025,1328,,,,,,,F1121,F1121,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ERORSHCO,Pere per il consumo fresco,2026,1328,,,,,,,F1121,F1121,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ERETNDFOR,Pere destinate alla trasformazione,2025,72,,,,,,,F1122,F1122,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ERETNDFOR,Pere destinate alla trasformazione,2026,72,,,,,,,F1122,F1122,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEACH,Pesca,2025,611,,,,,,,F1210,F1210,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PEACH,Pesca,2026,611,,,,,,,F1210,F1210,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ECENEDEDF,Pesche destinate a consumo,2025,552,,,,,,,F1211,F1211,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ECENEDEDF,Pesche destinate a consumo,2026,552,,,,,,,F1211,F1211,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ECENEDEDFTR,Pesche destinate alla trasformazione,2025,59,,,,,,,F1212,F1212,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ECENEDEDFTR,Pesche destinate alla trasformazione,2026,59,,,,,,,F1212,F1212,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,NECTA,Nettarina (pesca noce),2025,653,,,,,,,F1220,F1220,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,NECTA,Nettarina (pesca noce),2026,653,,,,,,,F1220,F1220,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ETRNSITENDE,Nettarine destinate a consumo,2025,653,,,,,,,F1221,F1221,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ETRNSITENDE,Nettarine destinate a consumo,2026,653,,,,,,,F1221,F1221,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,APRIC,Albicocca,2025,213,,,,,,,F1230,F1230,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,APRIC,Albicocca,2026,213,,,,,,,F1230,F1230,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,CHERR,Ciliegia in complesso,2025,1714,,,,,,,F1240,F1240,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ORCERE,Amarene,2025,46,,,,,,,F1241,F1241,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,ORCERE,Amarene,2026,46,,,,,,,F1241,F1241,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SWCHERRIES,Ciliegie dolci,2025,1668,,,,,,,F1242,F1242,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,SWCHERRIES,Ciliegie dolci,2026,1668,,,,,,,F1242,F1242,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PLUM,Susina/prugna,2025,367,,,,,,,F1250,F1250,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,PLUM,Susina/prugna,2026,367,,,,,,,F1250,F1250,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,MEDLAR,Nespola comune,2025,1,,,,,,,F1190_II,F1190_II,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,FIG,Fico,2025,25,,,,,,,F2100,F2100,,,,,,,,,,
A,Annuale,ITD3,Veneto,ART,Superficie totale - ettari,KIWI,Kiwi,2025,2559,,,,,,,F2200,F2200,,,,,,,,,,
